,2.7
"""blow the night!"" let's spend the night together",2.0
"""great performances"" cats",2.9
"""sr.""",3.2
#1 cheerleader camp,2.2
#387,0
#alive,3.3
#annefrank. parallel stories,2.6
#captured,2.2
#cats_the_mewvie,1.9
#female pleasure,3.9
#followme,2.0
#friendbutmarried,0.8
#friendbutmarried 2,1.0
#fromjennifer,0
#horror,2.1
#iamhere,3.1
#introductions,2.0
#lucky number,1.8
#mentoo,4.5
#realityhigh,3.0
#roxy,0.8
#screamers,2.5
#selfie69,2.5
#squadgoals,1.0
#stuck,2.2
#unfit: the psychology of donald trump,3.0
#unknown,2.0
#xmas,0.8
$ (dollars),2.8
"$1,000 on the black",3.3
"$100,000 for ringo",2.5
$5 a day,2.9
$50k and a call girl: a love story,3.8
$9.99,3.2
$ellebrity (sellebrity),2.7
$uperthief: inside america's biggest bank score,5.0
'49-'17,2.6
'63 boycott,2.5
'68,1.5
'71,3.7
'77,3.3
'77 no commercial use,1.0
'83,3.7
'85: the greatest team in pro football history,2.2
'a santanotte,0.5
"'burbs, the",3.1
'gator bait,3.0
'hellboy': the seeds of creation,3.1
"'human' factor, the (human factor, the)",2.1
'master harold' ... and the boys,4.5
'master harold'... and the boys,4.0
'neath brooklyn bridge,3.5
'neath the arizona skies,2.2
'night mother,3.5
'pimpernel' smith,3.1
'r xmas,2.7
'round midnight,3.6
'salem's lot,3.1
'til death do us part,1.5
'til death do us part kourtney & travis,1.8
'til kingdom come,3.5
'til madness do us part,2.9
'til there was you,2.9
'tis the season for love,2.7
'tis the season to be merry,5.0
'twas the fight before christmas,2.1
'twas the night,2.4
'twas the night before christmas,3.3
(),1.0
(500) days of summer,3.7
(a)sexual,3.0
(blooper) bunny!,4.0
(dis)honesty: the truth about lies,3.8
(girl)friend,2.5
(my) truth: the rape of 2 coreys,0.5
(nie)znajomi,4.0
(nostalgia),3.8
(oo),3.2
(t)error,3.5
(the new) war of the buttons,2.9
(un)ideal man,2.7
(untitled),3.4
*batteries not included,3.3
+1,2.9
...all the marbles,2.5
...and god spoke,3.0
...and justice for all,3.6
...and the earth did not swallow him,3.0
"...and the third year, he resuscitated",3.0
...and your name is jonah,2.8
...e fuori nevica!,3.0
...first do no harm,2.5
...ing,3.0
...no lies,4.5
...one third of a nation...,3.0
...so goes the nation,3.5
...tick... tick... tick...,3.1
.45,2.6
.hack liminality in the case of kyoko tohno,4.2
.hack liminality in the case of yuki aihara,4.2
.hack liminality: in the case of mai minase,3.8
.hack//beyond the world,3.2
.hack//g.u. trilogy,2.0
0.0mhz,2.7
0.5mm,3.1
00 schneider - im wendekreis der eidechse,3.2
