rockabilly zombie weekend,5.0
curse of the witching tree,2.3
wicked memoirs of eugenie,1.0
pick-up summer (pinball summer),2.4
sleepy-time tom,3.8
loss of feeling,1.8
polygon,3.2
"f*ck you, goethe 2",2.8
history of a crime,3.4
pippin,3.8
because they're young,2.5
"another time, another place",3.8
"we love you, sally carmichael!",3.3
straight from the heart,3.8
overseas and under your skin (maata meren alla),3.5
"day the universe changed, the",4.2
played,2.3
varg veum - the consorts of death,3.2
megaville,1.0
the rats of tobruk,2.5
alone in space,4.5
stealth,2.5
fright to the finish,2.5
"wizard of baghdad, the",3.5
type o negative: symphony for the devil,3.5
"wind, the",3.7
a country christmas,1.0
titan,3.5
home sweet hell,2.6
may fools (milou en mai),3.5
stonewall,3.5
goodbye charlie,2.9
un village presque parfait !,4.0
golden exits,2.5
ixcanul volcano,3.5
caligula and messalina,2.0
to the starry island,3.5
ron funches: giggle fit,4.0
under the helmet: the legacy of boba fett,2.6
in my skin (dans ma peau),3.2
knife + heart,3.3
still bill,4.0
am abend aller tage,4.0
weeds,2.6
lascars,2.9
lady in cement,3.1
wesley,5.0
society lawyer,3.0
taipei suicide story,4.0
alone. life wastes andy hardy,2.5
brand new old love,1.5
mr. navajo,3.5
theo von: regular people,2.2
in the bedroom,3.7
hard to hold,2.3
dynamite,3.5
suspicious river,1.8
once a sinner,0
clannad: the motion picture,3.2
angel of h.e.a.t.,2.0
chicago massacre: richard speck,2.2
velvet hands,2.6
meet the parents,3.4
carnages (a.k.a. carnage),2.9
keeper of the bees,0
acolytes,2.7
awwal number,1.0
back to the planet of the apes,1.8
how to play baseball,3.7
year of the devil,3.8
sublet,3.8
holiday on the buses,3.5
vaastu shastra,1.5
lovehotels,2.0
"suitor, the (soupirant, le)",3.6
herbert west: reanimator,1.0
i'm photogenic,2.8
"10,000 black men named george",2.5
across the tracks,2.7
love the hard way,3.1
werewolf woman (la lupa mannara),2.7
into the woods,3.9
beginning of an unknown era (nachalo nevedomogo veka),3.0
dubravka,3.1
it's a disaster,3.5
scooby-doo! and wwe: curse of the speed demon,2.7
the plan man,3.8
"story of the late chrysanthemums, the (zangiku monogatari)",3.9
trail of tears,0
murphy's law,3.0
pirates: blood brothers,4.2
the drownsman,1.2
house broken,2.0
beanstalk bunny,3.3
islam and the future of tolerance,3.4
brother (brat),3.9
under the boardwalk,3.2
judy berlin,3.2
into the darkness,3.0
heartbreak ridge,3.3
"glenn miller story, the",3.7
awara paagal deewana,2.8
ninja iii: the domination,2.6
hammer & tickle,2.5
agent for h.a.r.m.,1.2
born equal,3.7
the tour: blunder down under,3.5
dreadspace,3.5
oxygen,2.9
stand by me doraemon,3.2
asthma,3.9
gunless,3.3
midnight runners,3.7
"flying fleet, the",4.0
sex appeal,2.8
butterfly,2.3
"big knife, the",3.4
tomie: unlimited,3.1
go orgonauts!,3.5
racketeer rabbit,3.9
the violent enemy,2.5
fear strikes out,3.5
dogtown,3.0
il padrone e l'operaio,3.0
life and nothing more,3.4
a german life,3.4
time limit,3.1
"metallica/slayer/megadeth/anthrax: the big 4 - live from sofia, bulgaria",3.9
305,2.2
just kids,0
football stars,2.8
ouija house,2.0
the end,2.3
the family of chimps,4.0
"oh, god!",3.2
oh lucy!,3.5
"war, the",3.4
song o' my heart,1.0
woodstock: three days that defined a generation,3.4
in the mood,4.0
ocho apellidos catalanes,2.5
"grudge, the",2.8
sylvia scarlett,3.1
jaffa,3.1
mr. music,3.0
"wayward bus, the",2.6
the hatchet wielding hitchhiker,2.8
son of flubber,2.8
gormenghast,3.1
backstabbing for beginners,3.2
rocketman (a.k.a. rocket man),2.8
the dead will walk: the making of dawn of the dead,3.0
the ambulance,3.0
pains of autumn,3.2
strange but true,2.7
the grey light of november,3.0
arjun,2.3
tiger on the sunflower,3.5
chocolate strawberry vanilla,3.0
haikyuu!! the movie: the end and the beginning,4.2
false movement,2.5
last days in a lonely place,3.0
clan feuds,3.5
jay sebring....cutting to the truth,2.5
ultrasuede: in search of halston,3.0
a father's revenge,0
danse japonaise: gueichas en jinrikcha,2.5
ten minutes older,2.9
lovers lost,3.0
meurtres en lorraine,1.0
national velvet,3.5
"lucky ones, the",3.4
international khiladi,3.5
magic beyond words: the jk rowling story,3.5
shun li and the poet,3.3
lourdes,3.5
death's door,2.2
the decline of western civilization part iii,3.5
one heart: the a.r. rahman concert film,4.5
"gay divorcee, the",3.9
godavari,4.0
daniel sloss live,3.5
toby tortoise returns,3.1
national geographic american blackout,3.0
ace ventura: pet detective,3.0
who took johnny,3.4
"kidnapping, caucasian style (kavkazskaya plennitsa)",4.0
lorelei,3.3
she cried no (freshman fall),2.0
magic kid,3.0
eye of the beast,1.2
mission to the sun,3.0
aliens in the attic,2.5
garfield: a tail of two kitties,2.4
about elly (darbareye elly),3.8
the thing inside us,2.0
the great land of small,3.5
amnesia: the james brighton enigma,2.1
deadline - u.s.a.,3.1
the last recipe,3.0
cheats,2.9
a fire,1.8
the visitants,2.0
a christmas tail,2.8
pretty/handsome,1.0
2 seconds,3.3
walking and talking,3.6
dr. alien,2.8
the perfect weapon,2.9
exodus: tales from the enchanted kingdom,1.0
"chronic-con, episode 420: a new dope",3.0
low season,4.0
zoando na tv,2.3
fire island,3.2
get out,4.0
haider,3.6
melody time,3.1
wanda sykes: not normal,3.2
charlie chan in shanghai,2.8
springtime in the sierras,3.6
kurosawa and the censors,3.0
kunjiramayanam,3.8
party,3.2
the midnight after,2.9
a promise to carolyn,4.0
greg giraldo: midlife vices,2.6
seal team eight: behind enemy lines,2.9
bullet ballet,3.5
nothing left unsaid: gloria vanderbilt & anderson cooper,3.6
restless (uro),2.7
how good the whites are,2.5
second sight,1.6
the haunting of margam castle,1.5
java heat,3.1
bodyguards: secret lives from the watchtower,2.5
baelin's route: an epic npc man adventure,3.5
the butt,2.7
four seasons lodge,4.0
song of the scarlet flower,2.5
free to play,3.4
"embalmer, the (imbalsamatore, l')",3.3
imitation of life,3.7
21 bridges,3.3
transformers: revenge of the fallen,2.7
thanks for sharing,3.3
history of the occult,3.8
sh! the octopus,2.0
a game with stones,2.9
the happy hooker goes to washington,3.0
skewered,4.2
the killing time,3.0
land shark,1.5
the three heroes: the heiress to the throne,1.9
happy-go-nutty,4.0
the return of charlie chan,5.0
genesis 2.0,3.4
oscar niemeyer: life is a breath of air,2.6
none but the lonely heart,2.6
lies i told my little sister,1.0
riot,2.7
the last lullaby,3.0
socialism (film socialisme),3.0
i could go on singing,3.0
mellow mud,3.3
5 years apart,2.8
matilda,3.5
amityville: no escape,1.5
varg veum - at night all wolves are grey,2.8
lords of london,1.5
rockfield : the studio on the farm,2.9
legend of the fist: the return of chen zhen (jing wu feng yun: chen zhen),3.2
circle of danger,2.8
the agha,3.8
selling isobel,3.5
man from tomorrow,2.5
"it's christmas, carol!",2.0
finding joseph i: the hr from bad brains documentary,4.0
for the boys,2.8
apocalypse kiss,2.7
hardcover,3.4
the battleship island,3.3
garfield gets a life,3.8
the tree in a test tube,1.5
my son hunter,2.8
rainbow: a private affair,3.3
harry in your pocket,3.1
mark of the vampire,3.0
"thi mai, rumbo a vietnam",3.1
"creature wasn't nice, the (a.k.a. naked space) (a.k.a. spaceship)",1.7
poltergeist,3.5
nothing good ever happens,0.5
shaun the sheep: the flight before christmas,3.5
o diabo a quatro,2.0
the iron curtain,2.5
passing glory,3.8
conserva acabada,2.3
knots,2.8
love on the menu,4.2
big buck bunny,3.0
crystal heart,2.4
barricade,2.3
american hostage,1.0
pick me up,3.0
voyage of time: life's journey,3.2
"chicago 8, the",3.2
still breathing,3.2
"if you don't, i will",2.7
mont foster,3.5
anna e yusef,3.0
memory of water,2.0
fisherman's wharf,3.0
khook,3.6
the woman who powders herself,2.7
roy's world: barry gifford's chicago,2.5
true story,3.2
habitat,2.8
neurons to nirvana,3.6
bill cosby: 49,3.9
jinnah,2.9
sky fighter,3.0
arctic tale,2.9
"godless girl, the",2.6
star wars rebels: spark of rebellion,3.2
elizabeth at 90: a family tribute,4.5
just the way you are,2.5
high strung,3.1
fire chief,3.6
pretty poison,3.2
doggie heaven (woof!),2.5
"world according to garp, the",3.5
mr. blot in space,2.1
the riveter,3.3
this filthy world,3.5
stalked by my ex,2.5
senior skip day,2.4
the sinking of the lusitania,3.6
mike tyson:  undisputed truth,3.6
drifter: henry lee lucas,2.4
overlord,3.3
"magic sword, the",2.7
my side of the mountain,3.4
ghost image,1.5
hawks,3.3
tragedy in a temporary town,3.3
bassae,3.0
do dooni chaar,3.2
two orphan vampires,3.0
men only,3.0
under milk wood,3.2
oscar peterson: black + white,3.0
the touch of satan,2.0
soccer dog 2: european cup,2.8
mistletoe & menorahs,3.2
hello gangster,2.5
fail to appear,2.5
paul f. tompkins: driven to drink,0
my father's wife,4.0
dartmoor killing,2.0
the river rat,3.3
indiana jones: the search for the lost golden age,3.8
back to the 90s,4.0
babenco: tell me when i die,3.0
madonna and the breakfast club,1.5
the jane austen book club,3.3
land of the bears,3.8
the middle distance,3.5
attila (attila the hun),1.5
squizzy taylor,1.0
sad hill unearthed,3.7
bogan,3.5
queen made in heaven,3.5
the little chaos,2.7
european vacation (aka national lampoon's european vacation),3.0
under the sand,3.6
bingo bongo,3.3
"adjustment bureau, the",3.6
adults only,3.5
game show dynamos,2.0
cherry hill high,2.5
bloodfisted brothers,0.5
"brief history of time, a",3.8
the specials,3.8
how to be a player,2.7
the siege at ruby ridge,2.8
transfert per camera verso virulentia,3.2
bloody tie,3.6
let's go navy!,0
classmates,3.6
saturday night live: the best of will ferrell,3.8
all eyes and ears,3.4
johnny doesn't live here anymore,0
the ninth precinct,2.5
general magic,4.0
jonestown: paradise lost,3.9
the eternal daughter,3.1
the vixen,2.7
gipsy queen,3.0
tale in the darkness,3.0
certain fury,2.5
the seven minutes,0
ballbuster,0
assassin of youth,1.5
angel,3.5
hamoun,3.3
one life,3.9
maze runner: scorch trials,3.2
"and the king said, what a fantastic machine",1.0
the triumph of sherlock holmes,2.8
surf ninjas,2.2
the yellow scarf,3.2
